@******aldo_, 14548, $100, Fitness & Sports, 08/09/2019
@**********erlike999, 62395, $350, Fashion & Style, 08/09/2019
@*****rhgt, 10727, $500, Blog & Lifestyle, 08/09/2019
@******ncare, 7210, $100, Quotes & Text, 08/09/2019
@***au, 11867, $120, Fitness & Sports, 08/09/2019
@******elili, 16660, $150, Blog & Lifestyle, 11/09/2019
@****eru_, 120041, $1500, Art & Design, 08/09/2019
@*******_dz_31, 57862, $3500, Fashion & Style, 08/09/2019
@*********adreddine, 29898, $1500, Fashion & Style, 08/09/2019
@********trump.45, 15968, $280, Movies TV & Fanpages, 08/09/2019
@**********iarightnow, 26454, $4000, Travel & Nature, 08/09/2019
@*******ossenbd, 20142, $125, Blog & Lifestyle, 08/09/2019
@*******okelle, 82038, $6000, Fashion & Style, 08/09/2019
@******novic, 32338, $250, Blog & Lifestyle, 07/09/2019
@******6pack, 44120, $400, Fitness & Sports, 07/09/2019
@*****6pack, 40850, $350, Fitness & Sports, 07/09/2019
@**********ehilarious, 30950, $340, Pets & Animals, 07/09/2019
@*******forlove, 16855, $230, Pets & Animals, 07/09/2019
@*******yroars, 30886, $497, Travel & Nature, 07/09/2019
@*******models, 12192, $100, Business & Brand, 07/09/2019
@******rtnite, 8826, $224, Gaming & Entertainment, 07/09/2019
@*****detfs, 14680, $120, Gaming & Entertainment, 07/09/2019
@******growth, 22121, $250, Fashion & Style, 07/09/2019
@******bition, 25724, $350, Fashion & Style, 07/09/2019
@*******xposure, 19122, $250, Fashion & Style, 07/09/2019
@******siness, 15004, $220, Fashion & Style, 07/09/2019
@*****leads, 6526, $125, Health & Beauty, 07/09/2019
@********arketing, 5426, $100, City & Country, 07/09/2019
@***********ographylove, 5134, $150, Art & Design, 07/09/2019
@*********onsulting, 7842, $175, Fashion & Style, 07/09/2019
@********omotion, 7891, $175, Fitness & Sports, 07/09/2019
@****shka, 104284, $990, Art & Design, 12/09/2019
@*****s.io, 5824, $499, Educational & QA, 12/09/2019
@*******y_viral, 649575, $30000, Art & Design, 07/09/2019
@******bpan_, 23891, $500, Cars & Bikes, 07/09/2019
@******y.rice, 26138, $1350, Humor & Memes, 07/09/2019
@****s.mt, 13057, $250, Fitness & Sports, 07/09/2019
@****top, 21538, $349, Movies TV & Fanpages, 07/09/2019
@*******roalert, 19283, $304, Movies TV & Fanpages, 07/09/2019
@*****aclub, 65501, $1039, Gaming & Entertainment, 07/09/2019
@*******inline, 15896, $259, Fitness & Sports, 07/09/2019
@********.wonders, 29328, $464, Travel & Nature, 07/09/2019
@*****anger, 26433, $417, Fitness & Sports, 07/09/2019
@********erocity, 25545, $406, Fitness & Sports, 07/09/2019
